FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
56709e66f1c6008f,Cole Smith,"5'11""",135,67,1989,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,1,2,-1,-1
21b813b919776d90,Erik Silva,"5'9""",145,71,1987,2.17,0.71,1.58,0.4,3.94,0.8,0.71,0,1,1,0,-1
af65aa688d13eedf,Joe Solecki,"5'9""",155,70,1993,2.24,0.55,1.53,0.52,2.51,0.5,0.5,1.6,6,1,5,2
1975c2272ba40e71,Nick Serra,"5'9""",170,,1978,0,0,1.73,0.43,1,0.1,0,2,0,1,-1,-1
c670aa48827d6be6,Dan Severn,"6'2""",250,,1958,0,0,0,0,0,0,0,0,10,4,6,1
d4da8995fc91e7ef,Katsuyori Shibata,"6'0""",168,,1979,2.06,0.35,2.4,0.53,0.49,0.5,0.53,0.7,2,5,-3,-1
3a7513372f79c8c8,Masanori Suda,"5'9""",183,,  --,1.8,0.5,1.2,0.63,0,0,0.6,0,0,1,-1,-1
c1684f00c626f4c0,Mark Schultz,"5'9""",200,,  --,0,0,0,0,0,0,0,0,1,0,1,1
39d91e95949de3d9,Felicia Spencer,"5'6""",145,68,1990,3.21,0.48,4.54,0.45,1.18,0.18,0.27,0.2,3,3,0,1
30ea504870f8597b,Josh Stansbury,"6'2""",205,74,1984,3.22,0.54,3.54,0.54,0,0,0.87,1,1,2,-1,-1
29f935654825331b,Chris Sanford,"5'11""",185,,1968,0.23,0.5,3.22,0.17,0,0,0,3.5,0,1,-1,-1
012fc7cd0779c09a,Art Santore,"6'2""",185,,1972,1.4,0.12,7.31,0.52,0,0,1,0,0,2,-2,-1
52ef95b5860fb28c,Jean Silva,"5'7""",145,69,1996,5.8,0.48,4.73,0.55,1,0.33,1,0,1,0,1,1
7b143a54451263d9,Paul Sass,"6'0""",155,73,1988,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4,3,2,1,-1
fcaae0385b514f11,Frank Shamrock,"5'10""",185,,1972,4.75,0.53,4.66,0.57,0.35,0.5,0.37,1.1,8,3,5,-1
3143e5daff9e5b71,Jonathan Santa Maria,"5'9""",125,,  --,3.6,0.51,2.53,0.74,0,0,0.8,0,0,0,0,0
625b65b45c1c6888,Walter Smith-Cotito,"5'8""",135,,  --,2.95,0.36,3.53,0.68,2.16,0.33,0.57,0,0,0,0,0
03b1e846b09f721d,Denis Sobolev,"6'3""",216,,  --,0,0,5.45,0.33,0,0,0,0,0,1,-1,-1
762572d67204fadb,YeDam Seo,"5'2""",115,63,1992,0.33,0.15,2.27,0.55,0,0,0,0,0,1,-1,-1
d12ee718fb35c35c,Gleristone Santos,"5'9""",145,,1988,3.4,0.31,4.4,0.64,0,0,0.75,0,0,0,0,0
a17ad5a5048e8c3f,Darren Stewart,"6'0""",205,74,1990,3.05,0.45,3.29,0.48,1.75,0.45,0.67,0.1,5,7,-2,-1
d9e1942637bd57a4,Raja Shippen,"5'6""",145,,1986,0,0,0,0,0,0,0,0,0,0,0,0
b160e4f251283d70,Lucasz Sudolski,"6'4""",205,75,1993,5.7,0.67,4.89,0.28,0,0,1,0,0,1,-1,-1
09a6ed4ee97a5606,Ricky Steele,"5'9""",135,74,1988,4.07,0.7,2.93,0.5,0,0,0.91,0,1,0,1,1
9c669abd35b2522f,Greg Soto,"5'11""",170,73,1986,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1,1,2,-1,-1
b19aecbfbb5508cc,Dayana Silva,"5'7""",135,,1990,6.33,0.51,5.93,0.57,0,0,0.42,0,0,1,-1,-1
dadaeb402526dca5,Carl Seumanutafa,"6'1""",255,,  --,0,0,3.33,0.75,0,0,0,0,0,1,-1,-1
94a5aaf573f780ad,Yukio Sakaguchi,"5'9""",185,,1973,0.3,0.25,2.4,0.5,4.5,1,0,9,0,1,-1,-1
2f04c4183523be2e,Ray Seraille,"6'3""",246,,  --,5.29,0.27,17.65,0.41,0,0,0,0,0,1,-1,-1
253d3f9e97ca149a,Alex Serdyukov,"6'2""",170,74,1980,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8,3,3,0,-1
0bbb69f69c9a2eea,Nate Smith,"5'6""",125,69,1995,1.28,0.38,2.04,0.35,0,0,0.33,2.3,0,1,-1,-1
